id,name,series_id/id
__setup__.product_reporting_system_rugged_entry_k300_series_k300,K300,__setup__.product_reporting_series_rugged_entry_k300_series
__setup__.product_reporting_system_rugged_entry_k300_series_k300_ckt110_,K300 (CKT110),__setup__.product_reporting_series_rugged_entry_k300_series
__setup__.product_reporting_system_rugged_entry_k300_series_k300_igl300_,K300 (IGL300),__setup__.product_reporting_series_rugged_entry_k300_series
__setup__.product_reporting_system_rugged_entry_k300_series_k300_ign200_,K300 (IGN200),__setup__.product_reporting_series_rugged_entry_k300_series
__setup__.product_reporting_system_rugged_entry_k400_series_k410,K410,__setup__.product_reporting_series_rugged_entry_k400_series
__setup__.product_reporting_system_rugged_entry_k400_series_k410_ign210_,K410 (IGN210),__setup__.product_reporting_series_rugged_entry_k400_series
__setup__.product_reporting_system_rugged_entry_k400_series_k430,K430,__setup__.product_reporting_series_rugged_entry_k400_series
__setup__.product_reporting_system_rugged_entry_nuvo_series_nuvo_5501,Nuvo-5501,__setup__.product_reporting_series_rugged_entry_nuvo_series
__setup__.product_reporting_system_rugged_entry_p1000_series_p1001,P1001,__setup__.product_reporting_series_rugged_entry_p1000_series
__setup__.product_reporting_system_rugged_entry_p1000_series_p1001_tm400_,P1001 (TM400),__setup__.product_reporting_series_rugged_entry_p1000_series
__setup__.product_reporting_system_rugged_entry_p1000_series_p1101,P1101,__setup__.product_reporting_series_rugged_entry_p1000_series
__setup__.product_reporting_system_rugged_entry_p1000_series_p1101_igl500_,P1101 (IGL500),__setup__.product_reporting_series_rugged_entry_p1000_series
__setup__.product_reporting_system_rugged_entry_p2000_series_p2002,P2002,__setup__.product_reporting_series_rugged_entry_p2000_series
__setup__.product_reporting_system_rugged_entry_poc_series_poc_300,POC-300,__setup__.product_reporting_series_rugged_entry_poc_series
__setup__.product_reporting_system_rugged_entry_poc_series_poc_351vtc,POC-351VTC,__setup__.product_reporting_series_rugged_entry_poc_series
__setup__.product_reporting_system_rugged_high_performance_gp_series_gp_3001,GP-3001,__setup__.product_reporting_series_rugged_high_performance_gp_series
__setup__.product_reporting_system_rugged_high_performance_gp_series_gp_3002,GP-3002,__setup__.product_reporting_series_rugged_high_performance_gp_series
